Retornos
"-0,0012"
"0,0006"
"-0,0059"
"-0,0054"
"-0,0039"
"-0,0222"
"-0,0017"
"0,0096"
"0,0102"
"-0,0068"
"0,0105"
"0,0100"
"0,0079"
"0,0069"
"0,0097"
"-0,0009"
"-0,0056"
"-0,0011"
"-0,0035"
"-0,0313"
"0,0094"
"-0,0045"
"0,0004"
"-0,0035"
"0,0019"
"-0,0107"
"0,0042"
"0,0030"
"-0,0150"
"-0,0215"
"-0,0029"
"-0,0575"
"0,0045"
"-0,0043"
"-0,0077"
"0,0186"
"0,0039"
"0,0269"
"-0,0101"
"-0,0010"
"0,0043"
"0,0099"
"0,0003"
"0,0022"
"-0,0011"
"-0,0149"
"0,0003"
"0,0012"
"-0,0148"
"0,0006"
"0,0136"
"-0,0152"
"-0,0113"
"0,0037"
"0,0282"
"-0,0008"
"-0,0192"
"0,0060"
"0,0077"
"-0,0092"
"-0,0010"
"-0,0003"
"0,0048"
"-0,0017"
"0,0008"
"-0,0023"
"0,0106"
"-0,0025"
"0,0058"
"-0,0088"
"-0,0053"
"-0,0242"
"-0,0089"
"-0,0133"
"-0,0075"
"-0,0037"
"0,0065"
"-0,0107"
"-0,0017"
"-0,0064"
"0,0120"
"0,0021"
"-0,0031"
"-0,0047"
"0,0014"
"-0,0022"
"-0,0008"
"0,0090"
"-0,0036"
"0,0001"
"-0,0030"
"-0,0020"
"-0,0154"
"0,0090"
"0,0083"
"0,0035"
"-0,0038"
"-0,0025"
"0,0342"
"-0,0043"
"0,0567"
"0,0033"
"0,0012"
"0,0053"
"0,0066"
"-0,0082"
"0,0192"
"0,0020"
"0,0122"
"0,0032"
